sektor,transaktionspost,kvartal,"Inkomster och utgifter samt kapitaltransaktioner (ENS2010), löpande priser, mnkr"
S11 Icke-finansiella bolag,"D2XD3.PAY Skatter på produktion och import  minus subventioner, användning",2024K1,84689
S11 Icke-finansiella bolag,"D2XD3.PAY Skatter på produktion och import  minus subventioner, användning",2024K2,94658
S11 Icke-finansiella bolag,"D2XD3.PAY Skatter på produktion och import  minus subventioner, användning",2024K3,92773
S11 Icke-finansiella bolag,"D2XD3.PAY Skatter på produktion och import  minus subventioner, användning",2024K4,84974
S11 Icke-finansiella bolag,"D2.PAY Skatter på produktion och import, användning",2024K1,98149
S11 Icke-finansiella bolag,"D2.PAY Skatter på produktion och import, användning",2024K2,105364
S11 Icke-finansiella bolag,"D2.PAY Skatter på produktion och import, användning",2024K3,103072
S11 Icke-finansiella bolag,"D2.PAY Skatter på produktion och import, användning",2024K4,101458
S11 Icke-finansiella bolag,"D21rec.PAY Produktskatter (influtna), användning",2024K1,..
S11 Icke-finansiella bolag,"D21rec.PAY Produktskatter (influtna), användning",2024K2,..
S11 Icke-finansiella bolag,"D21rec.PAY Produktskatter (influtna), användning",2024K3,..
S11 Icke-finansiella bolag,"D21rec.PAY Produktskatter (influtna), användning",2024K4,..
S11 Icke-finansiella bolag,D29.PAY Övriga produktionsskatter,2024K1,98149
S11 Icke-finansiella bolag,D29.PAY Övriga produktionsskatter,2024K2,105364
S11 Icke-finansiella bolag,D29.PAY Övriga produktionsskatter,2024K3,103072
S11 Icke-finansiella bolag,D29.PAY Övriga produktionsskatter,2024K4,101458
S11 Icke-finansiella bolag,"B2+B3g Driftsöverskott och sammansatt förvärvsinkomst, brutto",2024K1,351450
S11 Icke-finansiella bolag,"B2+B3g Driftsöverskott och sammansatt förvärvsinkomst, brutto",2024K2,366950
S11 Icke-finansiella bolag,"B2+B3g Driftsöverskott och sammansatt förvärvsinkomst, brutto",2024K3,303671
S11 Icke-finansiella bolag,"B2+B3g Driftsöverskott och sammansatt förvärvsinkomst, brutto",2024K4,434258
S11 Icke-finansiella bolag,"B2+B3n Driftsöverskott och sammansatt förvärvsinkomst, netto",2024K1,157469
S11 Icke-finansiella bolag,"B2+B3n Driftsöverskott och sammansatt förvärvsinkomst, netto",2024K2,167419
S11 Icke-finansiella bolag,"B2+B3n Driftsöverskott och sammansatt förvärvsinkomst, netto",2024K3,102934
S11 Icke-finansiella bolag,"B2+B3n Driftsöverskott och sammansatt förvärvsinkomst, netto",2024K4,231567
S11 Icke-finansiella bolag,"B2g Driftsöverskott, brutto",2024K1,351450
S11 Icke-finansiella bolag,"B2g Driftsöverskott, brutto",2024K2,366950
S11 Icke-finansiella bolag,"B2g Driftsöverskott, brutto",2024K3,303671
S11 Icke-finansiella bolag,"B2g Driftsöverskott, brutto",2024K4,434258
S11 Icke-finansiella bolag,"B2n Driftsöverskott, netto",2024K1,157469
S11 Icke-finansiella bolag,"B2n Driftsöverskott, netto",2024K2,167419
S11 Icke-finansiella bolag,"B2n Driftsöverskott, netto",2024K3,102934
S11 Icke-finansiella bolag,"B2n Driftsöverskott, netto",2024K4,231567
S11 Icke-finansiella bolag,"B3g Sammansatt förvärvsinkomst, brutto",2024K1,..
S11 Icke-finansiella bolag,"B3g Sammansatt förvärvsinkomst, brutto",2024K2,..
S11 Icke-finansiella bolag,"B3g Sammansatt förvärvsinkomst, brutto",2024K3,..
S11 Icke-finansiella bolag,"B3g Sammansatt förvärvsinkomst, brutto",2024K4,..
S11 Icke-finansiella bolag,"B3n Sammansatt förvärvsinkomst, netto",2024K1,..
S11 Icke-finansiella bolag,"B3n Sammansatt förvärvsinkomst, netto",2024K2,..
S11 Icke-finansiella bolag,"B3n Sammansatt förvärvsinkomst, netto",2024K3,..
S11 Icke-finansiella bolag,"B3n Sammansatt förvärvsinkomst, netto",2024K4,..
S11 Icke-finansiella bolag,"D1.REC Ersättningar till anställda, tillgång",2024K1,..
S11 Icke-finansiella bolag,"D1.REC Ersättningar till anställda, tillgång",2024K2,..
S11 Icke-finansiella bolag,"D1.REC Ersättningar till anställda, tillgång",2024K3,..
S11 Icke-finansiella bolag,"D1.REC Ersättningar till anställda, tillgång",2024K4,..
S11 Icke-finansiella bolag,"D1net.REC Ersättning till anställda, netto",2024K1,..
S11 Icke-finansiella bolag,"D1net.REC Ersättning till anställda, netto",2024K2,..
S11 Icke-finansiella bolag,"D1net.REC Ersättning till anställda, netto",2024K3,..
S11 Icke-finansiella bolag,"D1net.REC Ersättning till anställda, netto",2024K4,..
S11 Icke-finansiella bolag,"D11.REC Egentlig lön, tillgång",2024K1,..
S11 Icke-finansiella bolag,"D11.REC Egentlig lön, tillgång",2024K2,..
S11 Icke-finansiella bolag,"D11.REC Egentlig lön, tillgång",2024K3,..
S11 Icke-finansiella bolag,"D11.REC Egentlig lön, tillgång",2024K4,..
S11 Icke-finansiella bolag,"D12.REC Arbetsgivares sociala avgifter, tillgång",2024K1,..
S11 Icke-finansiella bolag,"D12.REC Arbetsgivares sociala avgifter, tillgång",2024K2,..
S11 Icke-finansiella bolag,"D12.REC Arbetsgivares sociala avgifter, tillgång",2024K3,..
S11 Icke-finansiella bolag,"D12.REC Arbetsgivares sociala avgifter, tillgång",2024K4,..
S11 Icke-finansiella bolag,"D2.REC Skatter på produktion och import, tillgång ",2024K1,..
S11 Icke-finansiella bolag,"D2.REC Skatter på produktion och import, tillgång ",2024K2,..
S11 Icke-finansiella bolag,"D2.REC Skatter på produktion och import, tillgång ",2024K3,..
S11 Icke-finansiella bolag,"D2.REC Skatter på produktion och import, tillgång ",2024K4,..
S11 Icke-finansiella bolag,"D21.REC Produktskatter (influtna), tillgång",2024K1,..
S11 Icke-finansiella bolag,"D21.REC Produktskatter (influtna), tillgång",2024K2,..
S11 Icke-finansiella bolag,"D21.REC Produktskatter (influtna), tillgång",2024K3,..
S11 Icke-finansiella bolag,"D21.REC Produktskatter (influtna), tillgång",2024K4,..
S11 Icke-finansiella bolag,D211.REC Mervärdesskatter (skatter av momstyp),2024K1,..
S11 Icke-finansiella bolag,D211.REC Mervärdesskatter (skatter av momstyp),2024K2,..
S11 Icke-finansiella bolag,D211.REC Mervärdesskatter (skatter av momstyp),2024K3,..
S11 Icke-finansiella bolag,D211.REC Mervärdesskatter (skatter av momstyp),2024K4,..
S11 Icke-finansiella bolag,"D212.REC Skatter och tullar på import, exklusive moms",2024K1,..
S11 Icke-finansiella bolag,"D212.REC Skatter och tullar på import, exklusive moms",2024K2,..
S11 Icke-finansiella bolag,"D212.REC Skatter och tullar på import, exklusive moms",2024K3,..
S11 Icke-finansiella bolag,"D212.REC Skatter och tullar på import, exklusive moms",2024K4,..
S11 Icke-finansiella bolag,"D214.REC Produktskatter, exklusive moms och importskatter",2024K1,..
S11 Icke-finansiella bolag,"D214.REC Produktskatter, exklusive moms och importskatter",2024K2,..
S11 Icke-finansiella bolag,"D214.REC Produktskatter, exklusive moms och importskatter",2024K3,..
S11 Icke-finansiella bolag,"D214.REC Produktskatter, exklusive moms och importskatter",2024K4,..
S11 Icke-finansiella bolag,D29.REC Övriga produktionsskatter,2024K1,..
S11 Icke-finansiella bolag,D29.REC Övriga produktionsskatter,2024K2,..
S11 Icke-finansiella bolag,D29.REC Övriga produktionsskatter,2024K3,..
S11 Icke-finansiella bolag,D29.REC Övriga produktionsskatter,2024K4,..
