region,typ av fastighet,ägarkategori,"år, oregelb",tabellinnehåll,"Allmän fastighetstaxering. Taxeringsenheter, totalt taxeringsvärde och areal"
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",bostadsrättsförening,2024,Taxeringsenheter,4607
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",bostadsrättsförening,2024,"Totalt taxeringsvärde, miljoner kr",161783
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",bostadsrättsförening,2024,"Areal, kvkm",36.56
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",ekonomisk förening utom BRF,2024,Taxeringsenheter,12
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",ekonomisk förening utom BRF,2024,"Totalt taxeringsvärde, miljoner kr",263
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",ekonomisk förening utom BRF,2024,"Areal, kvkm",0.17
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",övrigt svenskt AB,2024,Taxeringsenheter,818
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",övrigt svenskt AB,2024,"Totalt taxeringsvärde, miljoner kr",8906
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",övrigt svenskt AB,2024,"Areal, kvkm",6.27
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",övriga juridiska personer,2024,Taxeringsenheter,13
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",övriga juridiska personer,2024,"Totalt taxeringsvärde, miljoner kr",186
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",övriga juridiska personer,2024,"Areal, kvkm",0.17
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",okänd,2024,Taxeringsenheter,119
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",okänd,2024,"Totalt taxeringsvärde, miljoner kr",1077
00 Riket,"Småhusenhet,  grupphusområde enligt 12 kap. 3 § FTL",okänd,2024,"Areal, kvkm",0.71
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",fysisk person,2024,Taxeringsenheter,115
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",fysisk person,2024,"Totalt taxeringsvärde, miljoner kr",243
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",fysisk person,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",dödsbo,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",dödsbo,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",dödsbo,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",stat,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",stat,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",stat,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet","kommun, landsting",2024,Taxeringsenheter,1
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet","kommun, landsting",2024,"Totalt taxeringsvärde, miljoner kr",1
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet","kommun, landsting",2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",allmännyttigt bostadsföretag,2024,Taxeringsenheter,1
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",allmännyttigt bostadsföretag,2024,"Totalt taxeringsvärde, miljoner kr",16
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",allmännyttigt bostadsföretag,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",bostadsrättsförening,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",bostadsrättsförening,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",bostadsrättsförening,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",ekonomisk förening utom BRF,2024,Taxeringsenheter,0
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",ekonomisk förening utom BRF,2024,"Totalt taxeringsvärde, miljoner kr",0
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",ekonomisk förening utom BRF,2024,"Areal, kvkm",0.00
00 Riket,"Småhusenhet, bostadsbyggnad på vattenfastighet",övrigt svenskt AB,2024,Taxeringsenheter,8
