"användning","år","tabellinnehåll","BNP från användningssidan (ENS2010), försörjningsbalans"
"investering i värdeföremål","2020","Fasta priser referensår 2020, mnkr",..
"investering i värdeföremål","2020","Prisförändring, procent",..
"investering i värdeföremål","2020","Volymförändring, procent",..
"investering i värdeföremål","2021","Löpande priser, mnkr",1831
"investering i värdeföremål","2021","Fasta priser referensår 2020, mnkr",..
"investering i värdeföremål","2021","Prisförändring, procent",..
"investering i värdeföremål","2021","Volymförändring, procent",..
"investering i värdeföremål","2022","Löpande priser, mnkr",2178
"investering i värdeföremål","2022","Fasta priser referensår 2020, mnkr",..
"investering i värdeföremål","2022","Prisförändring, procent",..
"investering i värdeföremål","2022","Volymförändring, procent",..
"investering i värdeföremål","2023","Löpande priser, mnkr",1898
"investering i värdeföremål","2023","Fasta priser referensår 2020, mnkr",..
"investering i värdeföremål","2023","Prisförändring, procent",..
"investering i värdeföremål","2023","Volymförändring, procent",..
"investering i värdeföremål","2024","Löpande priser, mnkr",3807
"investering i värdeföremål","2024","Fasta priser referensår 2020, mnkr",..
"investering i värdeföremål","2024","Prisförändring, procent",..
"investering i värdeföremål","2024","Volymförändring, procent",..
"inhemsk slutlig användning","1980","Löpande priser, mnkr",599591
"inhemsk slutlig användning","1980","Fasta priser referensår 2020, mnkr",2406273
"inhemsk slutlig användning","1980","Prisförändring, procent",..
"inhemsk slutlig användning","1980","Volymförändring, procent",..
"inhemsk slutlig användning","1981","Löpande priser, mnkr",645928
"inhemsk slutlig användning","1981","Fasta priser referensår 2020, mnkr",2352007
"inhemsk slutlig användning","1981","Prisförändring, procent",10.2
"inhemsk slutlig användning","1981","Volymförändring, procent",-2.3
"inhemsk slutlig användning","1982","Löpande priser, mnkr",710055
"inhemsk slutlig användning","1982","Fasta priser referensår 2020, mnkr",2372700
"inhemsk slutlig användning","1982","Prisförändring, procent",9.0
"inhemsk slutlig användning","1982","Volymförändring, procent",0.9
"inhemsk slutlig användning","1983","Löpande priser, mnkr",776564
"inhemsk slutlig användning","1983","Fasta priser referensår 2020, mnkr",2354338
"inhemsk slutlig användning","1983","Prisförändring, procent",10.2
"inhemsk slutlig användning","1983","Volymförändring, procent",-0.8
"inhemsk slutlig användning","1984","Löpande priser, mnkr",859345
"inhemsk slutlig användning","1984","Fasta priser referensår 2020, mnkr",2440069
"inhemsk slutlig användning","1984","Prisförändring, procent",6.8
"inhemsk slutlig användning","1984","Volymförändring, procent",3.6
"inhemsk slutlig användning","1985","Löpande priser, mnkr",953256
"inhemsk slutlig användning","1985","Fasta priser referensår 2020, mnkr",2547485
"inhemsk slutlig användning","1985","Prisförändring, procent",6.3
"inhemsk slutlig användning","1985","Volymförändring, procent",4.4
"inhemsk slutlig användning","1986","Löpande priser, mnkr",1029296
"inhemsk slutlig användning","1986","Fasta priser referensår 2020, mnkr",2627358
"inhemsk slutlig användning","1986","Prisförändring, procent",4.7
"inhemsk slutlig användning","1986","Volymförändring, procent",3.1
"inhemsk slutlig användning","1987","Löpande priser, mnkr",1130818
"inhemsk slutlig användning","1987","Fasta priser referensår 2020, mnkr",2743633
"inhemsk slutlig användning","1987","Prisförändring, procent",5.2
"inhemsk slutlig användning","1987","Volymförändring, procent",4.4
"inhemsk slutlig användning","1988","Löpande priser, mnkr",1240365
"inhemsk slutlig användning","1988","Fasta priser referensår 2020, mnkr",2828064
"inhemsk slutlig användning","1988","Prisförändring, procent",6.4
"inhemsk slutlig användning","1988","Volymförändring, procent",3.1
"inhemsk slutlig användning","1989","Löpande priser, mnkr",1388985
"inhemsk slutlig användning","1989","Fasta priser referensår 2020, mnkr",2936995
"inhemsk slutlig användning","1989","Prisförändring, procent",7.8
"inhemsk slutlig användning","1989","Volymförändring, procent",3.9
"inhemsk slutlig användning","1990","Löpande priser, mnkr",1529930
"inhemsk slutlig användning","1990","Fasta priser referensår 2020, mnkr",2938494
"inhemsk slutlig användning","1990","Prisförändring, procent",10.1
"inhemsk slutlig användning","1990","Volymförändring, procent",0.1
"inhemsk slutlig användning","1991","Löpande priser, mnkr",1621720
"inhemsk slutlig användning","1991","Fasta priser referensår 2020, mnkr",2879998
"inhemsk slutlig användning","1991","Prisförändring, procent",8.2
"inhemsk slutlig användning","1991","Volymförändring, procent",-2.0
"inhemsk slutlig användning","1992","Löpande priser, mnkr",1621478
"inhemsk slutlig användning","1992","Fasta priser referensår 2020, mnkr",2842093
"inhemsk slutlig användning","1992","Prisförändring, procent",1.3
"inhemsk slutlig användning","1992","Volymförändring, procent",-1.3
"inhemsk slutlig användning","1993","Löpande priser, mnkr",1605903
"inhemsk slutlig användning","1993","Fasta priser referensår 2020, mnkr",2707734
"inhemsk slutlig användning","1993","Prisförändring, procent",4.0
"inhemsk slutlig användning","1993","Volymförändring, procent",-4.7
"inhemsk slutlig användning","1994","Löpande priser, mnkr",1699802
"inhemsk slutlig användning","1994","Fasta priser referensår 2020, mnkr",2802844
"inhemsk slutlig användning","1994","Prisförändring, procent",2.3
"inhemsk slutlig användning","1994","Volymförändring, procent",3.5
"inhemsk slutlig användning","1995","Löpande priser, mnkr",1790680
"inhemsk slutlig användning","1995","Fasta priser referensår 2020, mnkr",2874892
"inhemsk slutlig användning","1995","Prisförändring, procent",2.7
"inhemsk slutlig användning","1995","Volymförändring, procent",2.6
"inhemsk slutlig användning","1996","Löpande priser, mnkr",1845306
"inhemsk slutlig användning","1996","Fasta priser referensår 2020, mnkr",2912206
"inhemsk slutlig användning","1996","Prisförändring, procent",1.7
"inhemsk slutlig användning","1996","Volymförändring, procent",1.3
"inhemsk slutlig användning","1997","Löpande priser, mnkr",1915583
"inhemsk slutlig användning","1997","Fasta priser referensår 2020, mnkr",2969138
"inhemsk slutlig användning","1997","Prisförändring, procent",1.8
"inhemsk slutlig användning","1997","Volymförändring, procent",2.0
"inhemsk slutlig användning","1998","Löpande priser, mnkr",2025914
"inhemsk slutlig användning","1998","Fasta priser referensår 2020, mnkr",3107296
"inhemsk slutlig användning","1998","Prisförändring, procent",1.1
"inhemsk slutlig användning","1998","Volymförändring, procent",4.7
"inhemsk slutlig användning","1999","Löpande priser, mnkr",2141739
"inhemsk slutlig användning","1999","Fasta priser referensår 2020, mnkr",3215650
"inhemsk slutlig användning","1999","Prisförändring, procent",2.2
"inhemsk slutlig användning","1999","Volymförändring, procent",3.5
"inhemsk slutlig användning","2000","Löpande priser, mnkr",2287886
"inhemsk slutlig användning","2000","Fasta priser referensår 2020, mnkr",3360617
"inhemsk slutlig användning","2000","Prisförändring, procent",2.2
"inhemsk slutlig användning","2000","Volymförändring, procent",4.5
"inhemsk slutlig användning","2001","Löpande priser, mnkr",2373788
"inhemsk slutlig användning","2001","Fasta priser referensår 2020, mnkr",3382212
"inhemsk slutlig användning","2001","Prisförändring, procent",3.1
"inhemsk slutlig användning","2001","Volymförändring, procent",0.6
"inhemsk slutlig användning","2002","Löpande priser, mnkr",2467059
"inhemsk slutlig användning","2002","Fasta priser referensår 2020, mnkr",3425622
"inhemsk slutlig användning","2002","Prisförändring, procent",2.6
"inhemsk slutlig användning","2002","Volymförändring, procent",1.3
"inhemsk slutlig användning","2003","Löpande priser, mnkr",2557048
"inhemsk slutlig användning","2003","Fasta priser referensår 2020, mnkr",3472824
"inhemsk slutlig användning","2003","Prisförändring, procent",2.2
"inhemsk slutlig användning","2003","Volymförändring, procent",1.4
"inhemsk slutlig användning","2004","Löpande priser, mnkr",2636589
"inhemsk slutlig användning","2004","Fasta priser referensår 2020, mnkr",3548616
"inhemsk slutlig användning","2004","Prisförändring, procent",0.9
"inhemsk slutlig användning","2004","Volymförändring, procent",2.2
"inhemsk slutlig användning","2005","Löpande priser, mnkr",2737001
"inhemsk slutlig användning","2005","Fasta priser referensår 2020, mnkr",3633824
"inhemsk slutlig användning","2005","Prisförändring, procent",1.4
"inhemsk slutlig användning","2005","Volymförändring, procent",2.4
"inhemsk slutlig användning","2006","Löpande priser, mnkr",2903438
"inhemsk slutlig användning","2006","Fasta priser referensår 2020, mnkr",3792334
"inhemsk slutlig användning","2006","Prisförändring, procent",1.6
"inhemsk slutlig användning","2006","Volymförändring, procent",4.4
"inhemsk slutlig användning","2007","Löpande priser, mnkr",3116682
"inhemsk slutlig användning","2007","Fasta priser referensår 2020, mnkr",3985185
"inhemsk slutlig användning","2007","Prisförändring, procent",2.1
"inhemsk slutlig användning","2007","Volymförändring, procent",5.1
"inhemsk slutlig användning","2008","Löpande priser, mnkr",3214823
"inhemsk slutlig användning","2008","Fasta priser referensår 2020, mnkr",3975940
"inhemsk slutlig användning","2008","Prisförändring, procent",3.4
"inhemsk slutlig användning","2008","Volymförändring, procent",-0.2
"inhemsk slutlig användning","2009","Löpande priser, mnkr",3159260
"inhemsk slutlig användning","2009","Fasta priser referensår 2020, mnkr",3833521
"inhemsk slutlig användning","2009","Prisförändring, procent",1.9
"inhemsk slutlig användning","2009","Volymförändring, procent",-3.6
"inhemsk slutlig användning","2010","Löpande priser, mnkr",3385922
"inhemsk slutlig användning","2010","Fasta priser referensår 2020, mnkr",4060857
"inhemsk slutlig användning","2010","Prisförändring, procent",1.2
"inhemsk slutlig användning","2010","Volymförändring, procent",5.9
"inhemsk slutlig användning","2011","Löpande priser, mnkr",3540416
"inhemsk slutlig användning","2011","Fasta priser referensår 2020, mnkr",4181024
"inhemsk slutlig användning","2011","Prisförändring, procent",1.6
"inhemsk slutlig användning","2011","Volymförändring, procent",3.0
"inhemsk slutlig användning","2012","Löpande priser, mnkr",3561769
"inhemsk slutlig användning","2012","Fasta priser referensår 2020, mnkr",4158703
"inhemsk slutlig användning","2012","Prisförändring, procent",1.1
"inhemsk slutlig användning","2012","Volymförändring, procent",-0.5
"inhemsk slutlig användning","2013","Löpande priser, mnkr",3659158
"inhemsk slutlig användning","2013","Fasta priser referensår 2020, mnkr",4226048
"inhemsk slutlig användning","2013","Prisförändring, procent",1.1
"inhemsk slutlig användning","2013","Volymförändring, procent",1.6
"inhemsk slutlig användning","2014","Löpande priser, mnkr",3841011
"inhemsk slutlig användning","2014","Fasta priser referensår 2020, mnkr",4364514
"inhemsk slutlig användning","2014","Prisförändring, procent",1.6
"inhemsk slutlig användning","2014","Volymförändring, procent",3.3
"inhemsk slutlig användning","2015","Löpande priser, mnkr",4093437
"inhemsk slutlig användning","2015","Fasta priser referensår 2020, mnkr",4567813
"inhemsk slutlig användning","2015","Prisförändring, procent",1.8
"inhemsk slutlig användning","2015","Volymförändring, procent",4.7
"inhemsk slutlig användning","2016","Löpande priser, mnkr",4286357
"inhemsk slutlig användning","2016","Fasta priser referensår 2020, mnkr",4712805
"inhemsk slutlig användning","2016","Prisförändring, procent",1.5
"inhemsk slutlig användning","2016","Volymförändring, procent",3.2
"inhemsk slutlig användning","2017","Löpande priser, mnkr",4494309
"inhemsk slutlig användning","2017","Fasta priser referensår 2020, mnkr",4821320
"inhemsk slutlig användning","2017","Prisförändring, procent",2.5
"inhemsk slutlig användning","2017","Volymförändring, procent",2.3
"inhemsk slutlig användning","2018","Löpande priser, mnkr",4707460
"inhemsk slutlig användning","2018","Fasta priser referensår 2020, mnkr",4900703
"inhemsk slutlig användning","2018","Prisförändring, procent",3.0
"inhemsk slutlig användning","2018","Volymförändring, procent",1.6
"inhemsk slutlig användning","2019","Löpande priser, mnkr",4829255
"inhemsk slutlig användning","2019","Fasta priser referensår 2020, mnkr",4915402
"inhemsk slutlig användning","2019","Prisförändring, procent",2.3
"inhemsk slutlig användning","2019","Volymförändring, procent",0.3
"inhemsk slutlig användning","2020","Löpande priser, mnkr",4807320
"inhemsk slutlig användning","2020","Fasta priser referensår 2020, mnkr",4807320
"inhemsk slutlig användning","2020","Prisförändring, procent",1.8
"inhemsk slutlig användning","2020","Volymförändring, procent",-2.2
"inhemsk slutlig användning","2021","Löpande priser, mnkr",5208730
"inhemsk slutlig användning","2021","Fasta priser referensår 2020, mnkr",5082316
"inhemsk slutlig användning","2021","Prisförändring, procent",2.5
"inhemsk slutlig användning","2021","Volymförändring, procent",5.7
"inhemsk slutlig användning","2022","Löpande priser, mnkr",5728449
"inhemsk slutlig användning","2022","Fasta priser referensår 2020, mnkr",5222767
"inhemsk slutlig användning","2022","Prisförändring, procent",7.0
"inhemsk slutlig användning","2022","Volymförändring, procent",2.8
"inhemsk slutlig användning","2023","Löpande priser, mnkr",5972895
"inhemsk slutlig användning","2023","Fasta priser referensår 2020, mnkr",5121346
"inhemsk slutlig användning","2023","Prisförändring, procent",6.3
"inhemsk slutlig användning","2023","Volymförändring, procent",-1.9
"inhemsk slutlig användning","2024","Löpande priser, mnkr",6213788
"inhemsk slutlig användning","2024","Fasta priser referensår 2020, mnkr",5178283
"inhemsk slutlig användning","2024","Prisförändring, procent",2.9
"inhemsk slutlig användning","2024","Volymförändring, procent",1.1
"export av varor och tjänster","1980","Löpande priser, mnkr",164544
"export av varor och tjänster","1980","Fasta priser referensår 2020, mnkr",377228
"export av varor och tjänster","1980","Prisförändring, procent",..
"export av varor och tjänster","1980","Volymförändring, procent",..
"export av varor och tjänster","1981","Löpande priser, mnkr",183657
"export av varor och tjänster","1981","Fasta priser referensår 2020, mnkr",386712
"export av varor och tjänster","1981","Prisförändring, procent",8.9
"export av varor och tjänster","1981","Volymförändring, procent",2.5
"export av varor och tjänster","1982","Löpande priser, mnkr",217211
"export av varor och tjänster","1982","Fasta priser referensår 2020, mnkr",412177
"export av varor och tjänster","1982","Prisförändring, procent",11.0
"export av varor och tjänster","1982","Volymförändring, procent",6.6
"export av varor och tjänster","1983","Löpande priser, mnkr",267929
"export av varor och tjänster","1983","Fasta priser referensår 2020, mnkr",452713
"export av varor och tjänster","1983","Prisförändring, procent",12.3
"export av varor och tjänster","1983","Volymförändring, procent",9.8
"export av varor och tjänster","1984","Löpande priser, mnkr",306824
"export av varor och tjänster","1984","Fasta priser referensår 2020, mnkr",485158
"export av varor och tjänster","1984","Prisförändring, procent",6.9
"export av varor och tjänster","1984","Volymförändring, procent",7.2
"export av varor och tjänster","1985","Löpande priser, mnkr",323228
"export av varor och tjänster","1985","Fasta priser referensår 2020, mnkr",491418
"export av varor och tjänster","1985","Prisförändring, procent",4.0
"export av varor och tjänster","1985","Volymförändring, procent",1.3
"export av varor och tjänster","1986","Löpande priser, mnkr",329371
"export av varor och tjänster","1986","Fasta priser referensår 2020, mnkr",508537
"export av varor och tjänster","1986","Prisförändring, procent",-1.5
"export av varor och tjänster","1986","Volymförändring, procent",3.5
"export av varor och tjänster","1987","Löpande priser, mnkr",351549
"export av varor och tjänster","1987","Fasta priser referensår 2020, mnkr",528698
"export av varor och tjänster","1987","Prisförändring, procent",2.7
"export av varor och tjänster","1987","Volymförändring, procent",4.0
"export av varor och tjänster","1988","Löpande priser, mnkr",380870
"export av varor och tjänster","1988","Fasta priser referensår 2020, mnkr",545627
"export av varor och tjänster","1988","Prisförändring, procent",5.0
"export av varor och tjänster","1988","Volymförändring, procent",3.2
"export av varor och tjänster","1989","Löpande priser, mnkr",418387
"export av varor och tjänster","1989","Fasta priser referensår 2020, mnkr",562705
"export av varor och tjänster","1989","Prisförändring, procent",6.5
"export av varor och tjänster","1989","Volymförändring, procent",3.1
"export av varor och tjänster","1990","Löpande priser, mnkr",434760
"export av varor och tjänster","1990","Fasta priser referensår 2020, mnkr",575992
"export av varor och tjänster","1990","Prisförändring, procent",1.5
"export av varor och tjänster","1990","Volymförändring, procent",2.4
"export av varor och tjänster","1991","Löpande priser, mnkr",434270
"export av varor och tjänster","1991","Fasta priser referensår 2020, mnkr",565210
"export av varor och tjänster","1991","Prisförändring, procent",1.8
"export av varor och tjänster","1991","Volymförändring, procent",-1.9
"export av varor och tjänster","1992","Löpande priser, mnkr",432129
"export av varor och tjänster","1992","Fasta priser referensår 2020, mnkr",578734
"export av varor och tjänster","1992","Prisförändring, procent",-2.8
"export av varor och tjänster","1992","Volymförändring, procent",2.4
"export av varor och tjänster","1993","Löpande priser, mnkr",506509
"export av varor och tjänster","1993","Fasta priser referensår 2020, mnkr",624995
"export av varor och tjänster","1993","Prisförändring, procent",8.5
"export av varor och tjänster","1993","Volymförändring, procent",8.0
"export av varor och tjänster","1994","Löpande priser, mnkr",596662
"export av varor och tjänster","1994","Fasta priser referensår 2020, mnkr",709995
"export av varor och tjänster","1994","Prisförändring, procent",3.7
"export av varor och tjänster","1994","Volymförändring, procent",13.6
"export av varor och tjänster","1995","Löpande priser, mnkr",711306
"export av varor och tjänster","1995","Fasta priser referensår 2020, mnkr",789805
"export av varor och tjänster","1995","Prisförändring, procent",7.2
"export av varor och tjänster","1995","Volymförändring, procent",11.2
"export av varor och tjänster","1996","Löpande priser, mnkr",707291
"export av varor och tjänster","1996","Fasta priser referensår 2020, mnkr",823734
"export av varor och tjänster","1996","Prisförändring, procent",-4.7
"export av varor och tjänster","1996","Volymförändring, procent",4.3
"export av varor och tjänster","1997","Löpande priser, mnkr",803487
"export av varor och tjänster","1997","Fasta priser referensår 2020, mnkr",937669
"export av varor och tjänster","1997","Prisförändring, procent",-0.2
"export av varor och tjänster","1997","Volymförändring, procent",13.8
"export av varor och tjänster","1998","Löpande priser, mnkr",864216
"export av varor och tjänster","1998","Fasta priser referensår 2020, mnkr",1021043
"export av varor och tjänster","1998","Prisförändring, procent",-1.2
"export av varor och tjänster","1998","Volymförändring, procent",8.9
"export av varor och tjänster","1999","Löpande priser, mnkr",910619
"export av varor och tjänster","1999","Fasta priser referensår 2020, mnkr",1093016
"export av varor och tjänster","1999","Prisförändring, procent",-1.6
"export av varor och tjänster","1999","Volymförändring, procent",7.0
"export av varor och tjänster","2000","Löpande priser, mnkr",1041685
"export av varor och tjänster","2000","Fasta priser referensår 2020, mnkr",1221554
"export av varor och tjänster","2000","Prisförändring, procent",2.4
"export av varor och tjänster","2000","Volymförändring, procent",11.8
"export av varor och tjänster","2001","Löpande priser, mnkr",1074540
"export av varor och tjänster","2001","Fasta priser referensår 2020, mnkr",1227976
"export av varor och tjänster","2001","Prisförändring, procent",2.6
"export av varor och tjänster","2001","Volymförändring, procent",0.5
"export av varor och tjänster","2002","Löpande priser, mnkr",1071614
"export av varor och tjänster","2002","Fasta priser referensår 2020, mnkr",1248081
"export av varor och tjänster","2002","Prisförändring, procent",-1.9
"export av varor och tjänster","2002","Volymförändring, procent",1.6
"export av varor och tjänster","2003","Löpande priser, mnkr",1089643
"export av varor och tjänster","2003","Fasta priser referensår 2020, mnkr",1300939
"export av varor och tjänster","2003","Prisförändring, procent",-2.4
"export av varor och tjänster","2003","Volymförändring, procent",4.2
"export av varor och tjänster","2004","Löpande priser, mnkr",1207231
"export av varor och tjänster","2004","Fasta priser referensår 2020, mnkr",1446901
"export av varor och tjänster","2004","Prisförändring, procent",-0.4
"export av varor och tjänster","2004","Volymförändring, procent",11.2
"export av varor och tjänster","2005","Löpande priser, mnkr",1326914
"export av varor och tjänster","2005","Fasta priser referensår 2020, mnkr",1549052
"export av varor och tjänster","2005","Prisförändring, procent",2.7
"export av varor och tjänster","2005","Volymförändring, procent",7.1
"export av varor och tjänster","2006","Löpande priser, mnkr",1483878
"export av varor och tjänster","2006","Fasta priser referensår 2020, mnkr",1677876
"export av varor och tjänster","2006","Prisförändring, procent",3.2
"export av varor och tjänster","2006","Volymförändring, procent",8.3
"export av varor och tjänster","2007","Löpande priser, mnkr",1580684
"export av varor och tjänster","2007","Fasta priser referensår 2020, mnkr",1751888
"export av varor och tjänster","2007","Prisförändring, procent",2.0
"export av varor och tjänster","2007","Volymförändring, procent",4.4
"export av varor och tjänster","2008","Löpande priser, mnkr",1662496
"export av varor och tjänster","2008","Fasta priser referensår 2020, mnkr",1769478
"export av varor och tjänster","2008","Prisförändring, procent",4.1
"export av varor och tjänster","2008","Volymförändring, procent",1.0
"export av varor och tjänster","2009","Löpande priser, mnkr",1444640
"export av varor och tjänster","2009","Fasta priser referensår 2020, mnkr",1516744
"export av varor och tjänster","2009","Prisförändring, procent",1.4
"export av varor och tjänster","2009","Volymförändring, procent",-14.3
"export av varor och tjänster","2010","Löpande priser, mnkr",1593814
"export av varor och tjänster","2010","Fasta priser referensår 2020, mnkr",1684353
"export av varor och tjänster","2010","Prisförändring, procent",-0.7
"export av varor och tjänster","2010","Volymförändring, procent",11.1
"export av varor och tjänster","2011","Löpande priser, mnkr",1682510
"export av varor och tjänster","2011","Fasta priser referensår 2020, mnkr",1798488
"export av varor och tjänster","2011","Prisförändring, procent",-1.1
"export av varor och tjänster","2011","Volymförändring, procent",6.8
"export av varor och tjänster","2012","Löpande priser, mnkr",1669824
"export av varor och tjänster","2012","Fasta priser referensår 2020, mnkr",1811223
"export av varor och tjänster","2012","Prisförändring, procent",-1.5
"export av varor och tjänster","2012","Volymförändring, procent",0.7
"export av varor och tjänster","2013","Löpande priser, mnkr",1626105
"export av varor och tjänster","2013","Fasta priser referensår 2020, mnkr",1808926
"export av varor och tjänster","2013","Prisförändring, procent",-2.5
"export av varor och tjänster","2013","Volymförändring, procent",-0.1
"export av varor och tjänster","2014","Löpande priser, mnkr",1722559
"export av varor och tjänster","2014","Fasta priser referensår 2020, mnkr",1879811
"export av varor och tjänster","2014","Prisförändring, procent",1.9
"export av varor och tjänster","2014","Volymförändring, procent",3.9
"export av varor och tjänster","2015","Löpande priser, mnkr",1849404
"export av varor och tjänster","2015","Fasta priser referensår 2020, mnkr",1975501
"export av varor och tjänster","2015","Prisförändring, procent",2.2
"export av varor och tjänster","2015","Volymförändring, procent",5.1
"export av varor och tjänster","2016","Löpande priser, mnkr",1886161
"export av varor och tjänster","2016","Fasta priser referensår 2020, mnkr",2035980
"export av varor och tjänster","2016","Prisförändring, procent",-1.0
"export av varor och tjänster","2016","Volymförändring, procent",3.1
"export av varor och tjänster","2017","Löpande priser, mnkr",2009287
"export av varor och tjänster","2017","Fasta priser referensår 2020, mnkr",2103104
"export av varor och tjänster","2017","Prisförändring, procent",3.1
"export av varor och tjänster","2017","Volymförändring, procent",3.3
"export av varor och tjänster","2018","Löpande priser, mnkr",2194979
"export av varor och tjänster","2018","Fasta priser referensår 2020, mnkr",2194836
"export av varor och tjänster","2018","Prisförändring, procent",4.7
"export av varor och tjänster","2018","Volymförändring, procent",4.4
"export av varor och tjänster","2019","Löpande priser, mnkr",2424758
"export av varor och tjänster","2019","Fasta priser referensår 2020, mnkr",2347481
"export av varor och tjänster","2019","Prisförändring, procent",3.3
"export av varor och tjänster","2019","Volymförändring, procent",7.0
"export av varor och tjänster","2020","Löpande priser, mnkr",2220062
"export av varor och tjänster","2020","Fasta priser referensår 2020, mnkr",2220062
"export av varor och tjänster","2020","Prisförändring, procent",-3.2
"export av varor och tjänster","2020","Volymförändring, procent",-5.4
"export av varor och tjänster","2021","Löpande priser, mnkr",2572582
"export av varor och tjänster","2021","Fasta priser referensår 2020, mnkr",2476658
"export av varor och tjänster","2021","Prisförändring, procent",3.9
"export av varor och tjänster","2021","Volymförändring, procent",11.6
"export av varor och tjänster","2022","Löpande priser, mnkr",3159015
"export av varor och tjänster","2022","Fasta priser referensår 2020, mnkr",2626582
"export av varor och tjänster","2022","Prisförändring, procent",15.8
"export av varor och tjänster","2022","Volymförändring, procent",6.1
"export av varor och tjänster","2023","Löpande priser, mnkr",3390786
"export av varor och tjänster","2023","Fasta priser referensår 2020, mnkr",2693901
"export av varor och tjänster","2023","Prisförändring, procent",4.7
"export av varor och tjänster","2023","Volymförändring, procent",2.6
"export av varor och tjänster","2024","Löpande priser, mnkr",3492246
"export av varor och tjänster","2024","Fasta priser referensår 2020, mnkr",2773082
"export av varor och tjänster","2024","Prisförändring, procent",0.1
"export av varor och tjänster","2024","Volymförändring, procent",2.9
"export av varor","1980","Löpande priser, mnkr",134698
"export av varor","1980","Fasta priser referensår 2020, mnkr",288885
"export av varor","1980","Prisförändring, procent",..
"export av varor","1980","Volymförändring, procent",..
"export av varor","1981","Löpande priser, mnkr",149195
"export av varor","1981","Fasta priser referensår 2020, mnkr",294086
"export av varor","1981","Prisförändring, procent",8.8
"export av varor","1981","Volymförändring, procent",1.8
"export av varor","1982","Löpande priser, mnkr",173389
"export av varor","1982","Fasta priser referensår 2020, mnkr",305497
"export av varor","1982","Prisförändring, procent",11.9
"export av varor","1982","Volymförändring, procent",3.9
"export av varor","1983","Löpande priser, mnkr",217306
"export av varor","1983","Fasta priser referensår 2020, mnkr",342391
"export av varor","1983","Prisförändring, procent",11.8
"export av varor","1983","Volymförändring, procent",12.1
"export av varor","1984","Löpande priser, mnkr",250567
"export av varor","1984","Fasta priser referensår 2020, mnkr",369298
"export av varor","1984","Prisförändring, procent",6.9
"export av varor","1984","Volymförändring, procent",7.9
"export av varor","1985","Löpande priser, mnkr",268552
"export av varor","1985","Fasta priser referensår 2020, mnkr",381190
"export av varor","1985","Prisförändring, procent",3.8
"export av varor","1985","Volymförändring, procent",3.2
"export av varor","1986","Löpande priser, mnkr",273239
"export av varor","1986","Fasta priser referensår 2020, mnkr",392826
"export av varor","1986","Prisförändring, procent",-1.3
"export av varor","1986","Volymförändring, procent",3.1
"export av varor","1987","Löpande priser, mnkr",290250
"export av varor","1987","Fasta priser referensår 2020, mnkr",407576
"export av varor","1987","Prisförändring, procent",2.4
"export av varor","1987","Volymförändring, procent",3.8
"export av varor","1988","Löpande priser, mnkr",315026
"export av varor","1988","Fasta priser referensår 2020, mnkr",420308
"export av varor","1988","Prisförändring, procent",5.2
"export av varor","1988","Volymförändring, procent",3.1
"export av varor","1989","Löpande priser, mnkr",343855
"export av varor","1989","Fasta priser referensår 2020, mnkr",431819
"export av varor","1989","Prisförändring, procent",6.2
"export av varor","1989","Volymförändring, procent",2.7
"export av varor","1990","Löpande priser, mnkr",351980
"export av varor","1990","Fasta priser referensår 2020, mnkr",433590
"export av varor","1990","Prisförändring, procent",1.9
"export av varor","1990","Volymförändring, procent",0.4
"export av varor","1991","Löpande priser, mnkr",345909
"export av varor","1991","Fasta priser referensår 2020, mnkr",425314
"export av varor","1991","Prisförändring, procent",0.2
"export av varor","1991","Volymförändring, procent",-1.9
"export av varor","1992","Löpande priser, mnkr",340205
"export av varor","1992","Fasta priser referensår 2020, mnkr",431177
"export av varor","1992","Prisförändring, procent",-3.0
"export av varor","1992","Volymförändring, procent",1.4
"export av varor","1993","Löpande priser, mnkr",402855
"export av varor","1993","Fasta priser referensår 2020, mnkr",471012
"export av varor","1993","Prisförändring, procent",8.4
"export av varor","1993","Volymförändring, procent",9.2
"export av varor","1994","Löpande priser, mnkr",486821
"export av varor","1994","Fasta priser referensår 2020, mnkr",548232
"export av varor","1994","Prisförändring, procent",3.8
"export av varor","1994","Volymförändring, procent",16.4
"export av varor","1995","Löpande priser, mnkr",596683
"export av varor","1995","Fasta priser referensår 2020, mnkr",624836
"export av varor","1995","Prisförändring, procent",7.5
"export av varor","1995","Volymförändring, procent",14.0
"export av varor","1996","Löpande priser, mnkr",590700
"export av varor","1996","Fasta priser referensår 2020, mnkr",653939
"export av varor","1996","Prisförändring, procent",-5.4
"export av varor","1996","Volymförändring, procent",4.7
"export av varor","1997","Löpande priser, mnkr",668058
"export av varor","1997","Fasta priser referensår 2020, mnkr",742577
"export av varor","1997","Prisförändring, procent",-0.4
"export av varor","1997","Volymförändring, procent",13.6
"export av varor","1998","Löpande priser, mnkr",713527
"export av varor","1998","Fasta priser referensår 2020, mnkr",805763
"export av varor","1998","Prisförändring, procent",-1.6
"export av varor","1998","Volymförändring, procent",8.5
"export av varor","1999","Löpande priser, mnkr",742126
"export av varor","1999","Fasta priser referensår 2020, mnkr",855912
"export av varor","1999","Prisförändring, procent",-2.1
"export av varor","1999","Volymförändring, procent",6.2
"export av varor","2000","Löpande priser, mnkr",842282
"export av varor","2000","Fasta priser referensår 2020, mnkr",955120
"export av varor","2000","Prisförändring, procent",1.7
