region,typ av fastighet,ägarkategori,"år, oregelb",tabellinnehåll,"Allmän och förenklad fastighetstaxering. Taxeringsenheter, totalt taxerings-/basvärde och areal"
00 Riket,"321 Hyreshusenhet, bostäder och lokaler","kommun, region",2025,"Totalt taxerings-/basvärde, miljoner kr",3291
00 Riket,"321 Hyreshusenhet, bostäder och lokaler","kommun, region",2025,"Areal, kvkm",2.17
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",Svenska kyrkan,2025,Taxeringsenheter,36
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",Svenska kyrkan,2025,"Totalt taxerings-/basvärde, miljoner kr",2078
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",Svenska kyrkan,2025,"Areal, kvkm",0.05
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",allmännyttigt bostadsföretag,2025,Taxeringsenheter,9861
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",allmännyttigt bostadsföretag,2025,"Totalt taxerings-/basvärde, miljoner kr",659774
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",allmännyttigt bostadsföretag,2025,"Areal, kvkm",84.54
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",bostadsrättsförening,2025,Taxeringsenheter,16217
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",bostadsrättsförening,2025,"Totalt taxerings-/basvärde, miljoner kr",1542665
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",bostadsrättsförening,2025,"Areal, kvkm",89.62
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",ekonomisk förening utom BRF,2025,Taxeringsenheter,451
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",ekonomisk förening utom BRF,2025,"Totalt taxerings-/basvärde, miljoner kr",26308
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",ekonomisk förening utom BRF,2025,"Areal, kvkm",0.99
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",bank och försäkringsbolag,2025,Taxeringsenheter,144
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",bank och försäkringsbolag,2025,"Totalt taxerings-/basvärde, miljoner kr",16485
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",bank och försäkringsbolag,2025,"Areal, kvkm",0.27
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",övrigt svenskt AB,2025,Taxeringsenheter,18422
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",övrigt svenskt AB,2025,"Totalt taxerings-/basvärde, miljoner kr",774858
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",övrigt svenskt AB,2025,"Areal, kvkm",73.36
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",stiftelser (ej familjestiftelser),2025,Taxeringsenheter,326
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",stiftelser (ej familjestiftelser),2025,"Totalt taxerings-/basvärde, miljoner kr",42100
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",stiftelser (ej familjestiftelser),2025,"Areal, kvkm",1.68
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",dödsbo,2025,Taxeringsenheter,147
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",dödsbo,2025,"Totalt taxerings-/basvärde, miljoner kr",2492
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",dödsbo,2025,"Areal, kvkm",0.21
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",övriga,2025,Taxeringsenheter,2396
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",övriga,2025,"Totalt taxerings-/basvärde, miljoner kr",147609
00 Riket,"321 Hyreshusenhet, bostäder och lokaler",övriga,2025,"Areal, kvkm",8.26
